query,referenceitem
3x KIND Oats & Honey Granola with Toasted Coconut KIND Oats & Honey Granola with Toasted Coconut Bundle 3 x 312 g - 936 g,Granola
Annie's Homegrown Gluten-Free Rice Pasta & Cheddar - 170 g,Mac and cheese
Annie's Homegrown Gluten-Free Rice Pasta White Cheddar Macaroni & Cheese - 170 g,Mac and cheese
Annies rice pasta and white cheddar,Mac and cheese
Baldstreet all beef frankfurters,Hot dogs saussages
Barb baked white cheddar cheese puffs,Chips
Barb original cheese puffs,Chips
Blue Diamond Nut Thins Crackers Almond - 120 g,Crackers
Blue nut thin,Crackers
Bob's Red Mill Cornstarch - 510 g,Cornstarch
Bob's Red Mill Gluten Free Old Fashioned Rolled Oats - 907 g,Oats
Bob's Red Mill Gluten Free Quick Cooking Rolled Oats - 794 g,Oats
Bob's Red Mill Gluten Free Steel Cut Oats - 680 g,Oats
Bob's Red Mill Organic Extra Thick Rolled Oats,Oats
Bob's Red Mill Organic Extra Thick Rolled Oats - 907 g,Oats
Bob's Red Mill Super-Fine Almond Flour - 453 g,Flour
Brioche Hot Dog and Hamburger Buns,Hot dog buns
Brioche Hot Dog Buns,Hot dog buns
"Brioche Hot Dog Buns, hamburger buns",Hot dog buns
Brown Rice Flour,Flour
Buckweat Flour,Flour
c'est BONBON Colorful Animals - 150 g,Candy
c'est BONBON Gummies Sour Mix - 150 g,Candy
c'est BONBON Gummies Sweet Mix - 150 g,Candy
c'est BONBON Gummies Vegan Bites - 150 g,Candy
c'est BONBON Raspberries - 150 g,Candy
c'est BONBON Vegan Bears - 150 g,Candy
Camino Original Dark Hot Chocolate - 336 g,Hot chocolate
Camino Original Milk Hot Chocolate - 336 g,Hot chocolate
Camino Simply Dark Hot Chocolate - 275 g,Hot chocolate
"Crackers Rice Simply, Rice Thin Multigrain, Care Breton GF",Crackers
Crofter's Organic Strawberry Just Fruit Spread - 235 mL,Jam
Dandies Mini Vegan Marshmallows - 283 g,Mashmallows
Dandies Vegan Marshmallows - 283 g,Mashmallows
Earth's Own Oat Original - 946 mL,Milk
EatWell Flings Buffalo,Chicken nuggets
Eco Pack Cert,Cereal
English muffins,English muffins
Enjoy Life Brownie Bites Rich Chocolate - 135 g,Chocolate
Enjoy Life Chocolaty Bars Chocolateriz - 32 g,Chocolate
Enjoy Life Chocolaty Bars Crunch - 32 g,Chocolate
Enjoy Life Creamy Morsels - 255 g,Chocolate chips
Enjoy Life Dark Chocolate Morsels - 255 g,Chocolate chips
Enjoy Life Mega Chocolate Chunks Semi-Sweet - 283 g,Chocolate chips
Enjoy Life Semi-Sweet Mini Chocolate Chips - 283 g,Chocolate chips
Enjoy Life Soft Baked Cookies Chocolate Chip - 170 g,Chocolate chips
Enoy chocolate chips,Chocolate chips
"Flours: brown rice, potato starch, pancake mix, sorhum",Flour
Fody Chipotle BBQ Sauce Unsweetened - 236 mL,BBQ Sauce
Fody Maple BBQ Sauce - 236 mL,BBQ Sauce
Fody Mild Salsa - 450 mL,Salsa
Fody pasta sauce,Pasta sauce
Fody Premium Tomato Basil Sauce - 547 mL,Pasta sauce
Fody salsa,Salsa
Gergia Bay granola,Granola
Gluten Free Oreos,Cookies
Glutino Gluten Free Chocolate Vanilla Creme Cookies - 300 g,Cookies
GoBIO! Organic Beef Bouillon Cubes - 66 g,Bouillon cubes
GoBIO! Organic Chicken Bouillon Cubes,Bouillon cubes
GoBIO! Organic Chicken Bouillon Cubes - 66 g,Bouillon cubes
GoBIO! Organic No Salt Chicken Bouillon Cubes - 6 Count,Bouillon cubes
GoBIO! Organic Vegetable Bouillon Cubes 6 x 11 g - 66 g,Bouillon cubes
GoGo Quinoa Cinnamon Quinoa Crunchies - 100 g,Cereal
GoGo Quinoa Organic Cocoa Puffed Quinoa Cereal - 260 g,Cereal
Inari Organic Arborio Rice for Risotto - 500 g,Rice
Inari Organic Black (Turtle) Beans - 500 g,Beans
Inari Organic White Basmati Rice - 500 g,Rice
Inari Organic Whole Black Chia Seed Large Bag - 500 g,Chia seeds
Jade pearl rice ramen noodles,Noodles
Jamieson Melatonin 10mg - 60 Caplets,Vitamins
Jamieson Vitamin B12 100 mcg - 100 Tablets,Vitamins
Jamieson Vitamin B2 100 mg - 100 Tablets,Vitamins
"Jamieson Vitamin C 1,000 mg - 100 Caplets",Vitamins
"Jamieson Vitamin D 1,000 IU - 100 Tablets",Vitamins
Kettle Yogurt & Green Onion Potato Chips - 220 g,Chips
KIND Bar Peanut Butter & Dark Chocolate 5 x 40 g - 5 Count,Granola bars
KIND Bars Caramel Almond & Sea Salt - 12 Count,Granola bars
KIND Bars Dark Chocolate Chunk Granola Bars Healthy Grains Bars - 5 Count,Granola bars
KIND Bars Maple Glazed Pecans & Sea Salt - 12 Count,Granola bars
KIND Bars Peanut Butter & Dark Chocolate Healthy Grains Bars - 5 Count,Granola bars
KIND Breakfast Bars Peanut Butter - 4 Count,Granola bars
KIND Oats & Honey Granola with Toasted Coconut - 312 g,Granola
KIND Vanilla Blueberry Whole Grain Granola with Flax Seeds - 312 g,Granola
KIND Whole Grain Peanut Butter Granola - 312 g,Granola
Kinn english muffin tapioca,English muffins
Kouzini Greek Premium Extra Virgin Olive Oil - 500 mL,
Leapin Leamurs cereal,Cereal
Load multigrain GF,Bread
Loaf Chia and Quinoa GF,Bread
Loaf multigrain GF,Bread
loaf white soft gf,Bread
Lotus Foods Organic Jade Pearl Rice Ramen - 283 g,Noodles
Lotus Foods Organic Millet & Brown Rice Ramen - 283 g,Noodles
Lucky Spring Rolls GF,Spring Rolls
Lundberg California White Basmati Rice - 907 g,Rice
Lundberg Organic White Jasmine Rice - 907 g,Rice
Lundenberg Jasmine white rice GF,Rice
M&M's Whole Peanut Chocolate Candies - 200 g,Candy
Made Good ganola bar,Granola bars
MadeGood Chocolate Banana Organic Granola Bars 5 x 24 g - 120 g,Granola bars
Maison Orphee Olive Oil Extra Virgin Delicate - 500 mL,Cooking Oil
Maison Orphee Organic Extra Virgin Olive Oil Balanced - 750 mL,Cooking Oil
Maison Orphee Organic White Wine Vinegar - 500 mL,Cooking Oil
Manitoba Harvest Hemp Hearts - 700 g,Misc
Nature path gorilla munch ecopack,Cereal
Nature Path Koala Krisp Cereal Ecopack,Cereal
Nature path mesa sunrise w raisin ecopac,Cereal
Nature Path Waffles GF,Waffles
NOW Real Food Guar Gum Powder - 227 g,Misc
Nutiva Organic Original Hazelnut Spread - 369 g,Spread
Nuts to You Crunchy Peanut Butter - 500 g,Peanut butter
Nuts to You Crunchy Peanut Butter Large - 750 g,Peanut butter
Nuts to You Peanut Butter,Peanut butter
Nuts to You Smooth Peanut Butter Large - 750 g,Peanut butter
Potato Starch,Flour
prana algarve bark,Nuts
Prana cashews gf,Nuts
PRANA Organic Black Whole Chia Seeds - 300 g,Chia seeds
Pretzel twists,Chips
Promise GF mini pitas,Bread
PUR Sugar-Free Cinnamon Gum Bag - 77 g,Gum
Restaurant GF surcharge,Misc
Retta chicken dogs,Hot dogs saussages
Rice Pasta and Cheddar GF,Mac and cheese
Rizopia Organic Brown Rice Pasta Fettucine - 454 g,Pasta
Rootalive Psyllium Husk Powder - 1 lbs,Misc
Roothams Gourmet Strawberry Rhubarb Preserve - 250 mL,Jam
Roothams Gourmet Wild Blueberry Raspberry Spread - 250 mL,Jam
Rudolfs Organic Raspberry Jam - 270 g,Jam
schar gf buns,Hot dog buns
Schar GF entertainment crackers,Crackers
Schar GF hamburger buns,Hot dog buns
Schar GF hotdog buns,Hot dog buns
"Schar GF hotdog buns, hamburger buns",Hot dog buns
Schar Gluten Free Entertainment Crackers - 175 g,Crackers
Schar Gluten Free Multigrain Crackers 6 x 35 g - 210 g,Crackers
schar hot dog buns,Hot dog buns
Schar pizza crust,Pizza crust
Simply Organic Paprika - 74 g,Spices
Snyders of Hanover Gluten Free Honey Mustard & Onion Pretzel Sticks - 220 g,Chips
Sorgum Flour,Flour
Tapioca Flour,Flour
Thorn golden flax bread,Bread
Top dogs original bbq,Hot dogs saussages
Villa Vainilla Mexican Vanilla Extract - 125 mL,Spices
Watkins Organic Paprika - 85 g,Spices
Webber Naturals Coenzyme Q10 BONUS! 100% More 100 mg - 60 Capsules,Vitamins
